,title,source,category,label
462,418,8,3,2
463,419,5,2,1
464,420,4,6,1
466,421,5,3,2
467,422,1,4,2
468,423,8,5,1
469,424,8,1,2
470,425,5,1,2
471,426,5,4,2
472,427,1,4,1
473,428,3,2,1
474,429,7,5,2
475,430,4,2,2
476,431,5,4,2
477,432,8,1,1
478,433,7,2,1
479,434,3,3,2
480,435,6,4,2
481,436,4,3,1
482,437,6,4,1
484,438,7,1,2
486,439,5,5,1
487,440,2,1,1
488,441,8,5,1
489,442,1,5,2
490,443,1,7,2
491,444,2,7,2
492,445,2,2,1
493,446,5,2,1
494,447,5,1,1
495,448,8,5,1
497,449,4,1,2
499,450,6,3,2
500,451,2,3,2
501,452,6,4,1
502,453,3,4,2
503,454,5,1,1
504,455,2,4,1
505,456,6,7,2
506,457,3,5,2
507,458,3,3,1
508,459,4,6,1
510,460,2,4,2
511,461,2,2,1
512,462,6,7,2
513,463,2,5,2
514,464,8,3,2
515,465,8,6,1
516,466,1,1,1
517,467,7,6,1
518,468,4,3,2
519,469,8,1,2
520,470,4,3,1
521,471,3,1,2
522,472,3,6,1
523,473,1,3,1
524,474,7,1,1
526,475,2,7,1
528,476,5,1,2
529,477,5,7,2
530,478,5,1,1
531,479,6,3,1
532,480,7,4,2
533,481,7,6,1
534,482,3,4,1
535,483,5,5,2
536,484,7,5,2
537,485,8,5,2
538,486,8,1,2
539,487,5,2,2
540,488,4,1,1
541,489,3,4,2
543,490,6,6,1
544,491,1,3,1
545,492,3,4,2
546,493,2,1,2
547,494,6,6,2
548,495,4,3,1
549,496,3,1,2
550,497,8,2,2
551,498,8,7,2
552,499,7,4,2
553,500,4,6,2
554,501,7,1,2
555,502,7,2,1
556,503,1,3,2
558,504,7,4,2
559,505,7,5,2
560,506,6,4,1
561,507,7,3,1
562,508,6,2,1
563,509,1,3,2
565,510,3,5,2
566,511,7,3,2
568,512,7,2,1
569,513,2,5,1
570,514,3,5,2
571,515,7,5,2
572,516,8,4,1
573,517,5,2,1
575,518,6,5,1
576,519,8,3,2
577,520,5,6,1
578,521,8,2,2
579,522,2,7,2
580,523,3,4,2
581,524,3,3,1
582,525,3,1,1
583,526,7,1,1
585,527,5,5,2
586,528,5,5,2
587,529,2,5,1
588,530,2,5,1
589,531,3,5,1
590,532,6,5,1
591,533,1,2,1
592,534,7,1,2
593,535,1,3,1
594,536,1,7,1
595,537,6,1,2
596,538,3,1,2
597,539,1,7,2
598,540,2,4,2
599,541,8,6,2
600,542,6,6,2
601,543,3,6,2
602,544,2,5,2
603,545,5,1,1
604,546,5,2,1
606,547,8,3,1
607,548,8,3,1
609,549,6,7,2
610,550,7,2,2
611,551,5,3,1
612,552,7,4,2
613,553,2,5,2
614,554,8,5,2
616,555,3,6,2
617,556,7,2,1
619,557,8,7,1
620,558,4,7,2
621,559,5,2,2
622,560,1,7,2
623,561,7,2,1
624,562,5,1,2
625,563,3,2,1
626,564,4,4,1
627,565,1,5,1
628,566,2,2,2
630,567,5,1,2
631,568,3,2,1
632,569,6,2,2
633,570,8,2,2
634,571,1,7,2
635,572,5,7,2
636,573,8,6,2
637,574,2,7,2
639,575,6,3,1
640,576,7,2,1
642,577,7,4,1
643,578,5,1,2
644,579,8,2,2
645,580,7,6,1
647,581,7,2,2
648,582,2,6,2
649,583,8,5,2
650,584,8,5,1
651,585,2,4,2
652,586,2,4,2
654,587,6,6,2
656,588,7,6,1
657,589,6,5,2
658,590,5,7,2
660,591,5,6,2
661,592,5,4,2
662,593,4,7,2
664,594,3,7,1
665,595,1,2,2
667,596,3,4,2
668,597,2,2,1
669,598,8,4,2
670,599,6,5,2
671,600,1,7,2
672,601,4,2,1
673,602,7,2,2
674,603,5,5,1
675,604,4,1,2
676,605,7,6,1
677,606,5,6,1
678,607,5,7,2
679,608,3,5,2
682,609,8,7,1
683,610,2,2,1
684,611,8,7,2
685,612,6,3,1
686,613,6,5,2
687,614,7,5,2
688,615,2,1,1
689,616,5,1,2
691,617,5,4,1
692,618,8,3,2
693,619,4,1,1
694,620,2,6,2
695,621,7,2,1
696,622,7,3,1
698,623,6,2,1
699,624,7,4,2
700,625,1,7,1
701,626,8,4,2
703,627,2,7,1
704,628,6,6,1
705,629,2,3,1
706,630,2,2,1
707,631,1,3,2
708,632,2,7,2
709,633,2,6,2
710,634,5,3,1
711,635,1,7,1
712,636,4,4,1
713,637,6,3,1
714,638,4,4,1
715,639,4,4,1
716,640,5,2,1
717,641,8,2,2
718,642,3,6,1
719,643,6,3,2
720,644,4,2,2
721,645,3,6,1
722,646,6,2,2
724,647,4,5,1
725,648,2,6,2
726,649,5,3,2
727,650,8,6,2
730,651,6,6,1
731,652,8,4,2
732,653,5,2,1
733,654,3,4,1
734,655,6,7,1
735,656,1,4,1
736,657,6,6,2
737,658,5,6,1
738,659,6,2,2
739,660,1,5,2
740,661,4,4,2
741,662,6,2,1
742,663,1,3,1
743,664,4,1,1
745,665,1,2,2
747,666,4,6,2
748,667,7,4,2
749,668,6,1,2
750,669,8,5,2
751,670,3,4,2
752,671,5,5,1
753,672,2,7,1
754,673,8,2,2
755,674,1,1,2
756,675,4,5,2
757,676,4,6,1
758,677,8,7,1
759,678,4,6,1
760,679,4,6,1
761,680,3,3,1
762,681,7,4,2
763,682,5,4,1
764,683,4,4,2
765,684,3,5,2
766,685,3,6,2
768,686,2,6,2
769,687,8,2,1
770,688,5,2,2
771,689,5,5,1
772,690,1,2,1
773,691,7,6,1
774,692,1,4,2
775,693,4,2,2
777,694,7,7,2
778,695,2,7,1
779,696,8,1,2
780,697,1,2,2
781,698,1,7,1
782,699,7,7,2
783,700,2,2,2
784,701,3,2,2
785,702,5,7,1
786,703,5,3,2
787,704,4,6,2
788,705,4,2,1
789,706,6,4,2
790,707,5,6,1
791,708,7,3,2
792,709,6,4,2
793,710,4,3,1
794,711,7,5,2
795,712,6,2,1
796,713,7,1,2
797,714,2,3,2
798,715,4,6,2
799,716,5,7,2
800,717,8,4,2
801,718,8,7,1
802,719,3,1,2
804,720,7,1,2
805,721,4,4,1
806,722,8,1,2
807,723,5,4,2
808,724,1,5,1
809,725,7,7,2
810,726,7,3,1
811,727,6,5,2
813,728,3,4,2
814,729,7,1,2
815,730,7,2,1
816,731,5,2,2
817,732,1,6,1
818,733,7,2,1
819,734,7,3,2
820,735,4,6,2
821,736,6,1,1
822,737,7,2,1
823,738,3,7,2
824,739,6,6,1
825,740,7,3,2
826,741,4,5,1
827,742,8,2,1
828,743,6,1,2
829,744,6,6,1
830,745,3,6,1
831,746,2,2,2
832,747,8,7,2
833,748,3,7,1
834,749,1,5,2
835,750,3,5,1
836,751,5,2,1
837,752,5,5,2
838,753,8,6,1
839,754,6,4,1
840,755,6,4,1
841,756,1,1,2
842,757,7,1,1
843,758,5,6,2
844,759,1,1,2
845,760,2,1,1
846,761,3,3,1
847,762,5,3,1
848,763,5,5,2
849,764,4,3,2
850,765,4,4,2
851,766,1,7,2
853,767,7,5,1
854,768,4,1,2
856,769,7,3,1
857,770,6,5,1
859,771,7,5,2
860,772,5,3,1
861,773,5,3,2
862,774,8,4,2
863,775,2,3,2
864,776,1,5,1
865,777,3,5,2
866,778,4,6,2
867,779,2,6,2
868,780,1,5,1
870,781,3,5,2
871,782,8,3,1
872,783,4,1,1
873,784,4,2,1
874,785,2,7,2
875,786,5,7,2
876,787,5,2,1
877,788,3,2,2
878,789,8,4,2
879,790,7,5,2
880,791,4,5,1
881,792,1,6,2
882,793,6,6,1
883,794,5,6,2
884,795,7,3,1
885,796,3,3,1
887,797,4,6,2
888,798,3,4,1
889,799,6,5,1
890,800,4,4,1
892,801,4,5,1
894,802,2,7,1
895,803,7,7,2
896,804,1,6,1
897,805,6,4,1
898,806,4,2,2
899,807,6,7,2
900,808,6,2,1
901,809,2,1,1
902,810,8,5,2
903,811,6,5,1
904,812,2,4,2
905,813,1,4,2
906,814,5,3,2
907,815,8,1,1
908,816,6,4,1
909,817,2,2,2
910,818,8,1,1
911,819,3,6,2
912,820,6,2,2
913,821,4,3,2
915,822,1,7,1
916,823,3,7,2
917,824,2,1,1
918,825,2,1,1
919,826,7,2,2
920,827,6,5,1
921,828,3,6,1
922,829,3,7,1
923,830,6,7,2
925,831,1,1,2
926,832,1,3,2
927,833,5,1,2
929,834,6,6,1
930,835,6,5,2
931,836,8,6,1
932,837,4,1,2
933,838,8,7,1
934,839,6,5,1
935,840,2,7,2
936,841,1,6,1
937,842,4,7,2
938,843,1,1,2
939,844,8,6,2
940,845,5,7,2
941,846,1,4,2
942,847,1,4,2
943,848,3,7,2
944,849,4,4,1
945,850,4,3,2
946,851,2,7,2
947,852,2,1,1
948,853,3,4,1
949,854,8,1,1
950,855,3,7,1
951,856,7,1,1
952,857,5,6,2
953,858,2,1,1
955,859,4,6,2
956,860,4,7,2
957,861,7,4,1
959,862,2,3,1
960,863,6,1,1
961,864,7,7,2
962,865,5,2,2
963,866,6,6,1
964,867,1,3,2
965,868,6,6,1
966,869,8,4,2
967,870,1,6,1
968,871,4,7,1
969,872,5,4,1
971,873,7,6,2
972,874,6,4,1
973,875,5,4,2
974,876,3,2,2
975,877,3,7,2
976,878,1,5,2
977,879,6,1,2
978,880,6,1,1
979,881,3,6,1
980,882,4,4,2
982,883,1,7,1
983,884,2,7,2
984,885,2,2,2
986,886,1,6,1
987,887,7,1,2
988,888,4,7,1
989,889,8,7,1
990,890,5,5,1
992,891,6,2,1
993,892,5,5,1
994,893,8,6,1
995,894,8,4,2
997,895,3,6,1
998,896,6,5,2
999,897,7,1,2
1000,898,5,7,2
1002,899,6,7,2
1003,900,8,3,2
1004,901,5,6,1
1005,902,2,1,2
1006,903,5,4,1
1007,904,1,7,2
1008,905,4,7,2
1009,906,8,4,1
1010,907,7,3,2
1012,908,4,3,2
1013,909,1,4,1
1014,910,5,3,1
1015,911,6,3,1
1016,912,1,3,2
1017,913,5,3,1
1018,914,6,7,1
1019,915,1,1,1
1020,916,2,1,1
1021,917,7,7,2
1022,918,2,2,2
1023,919,6,2,2
1024,920,2,5,1
1025,921,2,2,2
1026,922,6,6,2
1027,923,3,1,1
1028,924,8,5,1
1029,925,3,4,2
1030,926,3,7,1
1031,927,3,6,2
1032,928,7,1,2
1033,929,7,2,2
1034,930,1,5,1
1035,931,5,7,1
1036,932,3,3,1
1037,933,2,4,2
1039,934,4,4,2
1040,935,8,1,2
1041,936,3,2,2
1043,937,4,2,2
1046,938,4,3,1
1047,939,4,7,1
1048,940,8,2,1
1049,941,5,4,1
1050,942,1,5,1
1051,943,3,1,1
1053,944,8,7,1
1055,945,1,3,2
1056,946,6,3,2
1057,947,5,2,2
1058,948,4,4,2
1059,949,5,6,1
1060,950,2,1,2
1061,951,3,5,1
1063,952,8,6,1
1064,953,2,6,2
1065,954,2,4,2
1066,955,8,4,2
1067,956,4,4,1
1069,957,7,3,2
1070,958,3,5,2
1071,959,7,4,2
1072,960,4,4,2
1073,961,1,2,2
1075,962,7,7,2
1076,963,1,3,1
1077,964,1,5,2
1080,965,4,1,1
1081,966,7,7,1
1082,967,4,5,2
1084,968,2,3,2
1085,969,8,7,2
1087,970,2,1,2
1088,971,8,7,2
1089,972,7,4,2
1090,973,6,3,1
1091,974,5,5,1
1092,975,8,6,1
1093,976,3,4,2
1094,977,7,5,2
1095,978,5,6,2
1096,979,7,1,2
1097,980,8,7,1
1098,981,5,3,1
1099,982,3,2,1
1100,983,3,5,1
1101,984,8,1,1
1103,985,2,1,1
1104,986,7,5,1
1105,987,8,1,2
1106,988,6,1,2
1107,989,1,2,1
1108,990,4,7,1
1109,991,4,6,1
1110,992,6,4,1
1111,993,2,7,2
1112,994,1,5,2
1113,995,5,2,1
1114,996,8,2,1
1115,997,7,1,1
1116,998,7,4,2
1117,999,3,1,2
1118,1000,7,2,2
1119,1001,1,6,2
1120,1002,3,2,1
1121,1003,4,5,1
1122,1004,5,5,1
1123,1005,6,7,1
1125,1006,8,1,1
1126,1007,6,4,1
1127,1008,5,2,1
1128,1009,4,5,1
1129,1010,7,6,1
1130,1011,2,1,2
1131,1012,6,5,1
1132,1013,1,2,2
1133,1014,3,5,2
1134,1015,4,7,1
1135,1016,7,3,2
1136,1017,8,1,1
1137,1018,5,4,2
1138,1019,8,2,1
1139,1020,8,3,2
1141,1021,7,3,2
1142,1022,1,7,2
1144,1023,4,7,2
1145,1024,8,4,2
1146,1025,4,4,1
1148,1026,7,6,1
1149,1027,6,6,2
1150,1028,5,5,1
1151,1029,1,7,1
1152,1030,1,7,2
1153,1031,6,6,2
1154,1032,7,6,2
1155,1033,2,2,1
1156,1034,4,5,1
1157,1035,8,1,2
1158,1036,8,3,2
1159,1037,4,2,1
1160,1038,3,7,2
1161,1039,6,6,2
1162,1040,5,7,2
1163,1041,1,1,2
1164,1042,3,2,1
1165,1043,2,7,2
1166,1044,5,1,2
1167,1045,1,2,2
1168,1046,8,6,2
1169,1047,3,1,1
1170,1048,1,2,1
1171,1049,3,7,1
1172,1050,1,1,2
1173,1051,3,1,2
1174,1052,5,7,2
1175,1053,8,7,1
1176,1054,5,1,1
1177,1055,6,4,2
1178,1056,4,4,2
1179,1057,8,2,2
1180,1058,2,5,1
1182,1059,5,4,1
1183,1060,6,3,2
1184,1061,8,1,1
1186,1062,2,5,2
1187,1063,8,5,1
1189,1064,1,2,2
1190,1065,4,2,1
1192,1066,5,3,2
1193,1067,4,6,2
1194,1068,6,2,1
1195,1069,6,5,1
1196,1070,2,7,1
1197,1071,2,5,2
1198,1072,4,6,2
1199,1073,6,4,1
1200,1074,4,4,1
1201,1075,8,5,1
1203,1076,3,7,2
1204,1077,8,1,1
1205,1078,2,7,2
1206,1079,7,4,1
1207,1080,4,6,1
1208,1081,5,5,2
1209,1082,5,7,1
1210,1083,3,1,1
1211,1084,7,4,2
1212,1085,4,2,1
1213,1086,6,6,1
1214,1087,7,7,2
1215,1088,4,4,1
1216,1089,7,1,2
1217,1090,6,4,1
1218,1091,1,6,2
1219,1092,4,2,2
1220,1093,2,1,1
1221,1094,5,1,2
1223,1095,2,4,1
1224,1096,3,3,2
1225,1097,3,3,2
1227,1098,1,2,1
1228,1099,6,5,2
1229,1100,6,2,1
1230,1101,3,5,2
1231,1102,7,1,2
1232,1103,3,3,2
1233,1104,1,7,2
1234,1105,6,3,1
1236,1106,8,4,2
1237,1107,3,7,1
1238,1108,6,4,1
1239,1109,1,1,1
1240,1110,4,4,1
1242,1111,6,2,1
1243,1112,2,4,1
1244,1113,8,7,1
1245,1114,5,6,2
1246,1115,2,3,1
1247,1116,5,1,1
1248,1117,8,6,1
1249,1118,3,2,2
1250,1119,3,2,1
1251,1120,6,6,1
1252,1121,8,5,2
1253,1122,4,1,1
1254,1123,5,1,2
1255,1124,3,4,2
1256,1125,8,6,1
1257,1126,7,2,2
1258,1127,3,3,2
1259,1128,7,3,1
1260,1129,8,7,1
1261,1130,7,3,2
1262,1131,7,2,1
1264,1132,5,4,2
1265,1133,5,3,1
1266,1134,8,3,2
1268,1135,8,4,2
1269,1136,8,7,1
1270,1137,7,5,2
1271,1138,2,1,1
1272,1139,7,1,1
1273,1140,6,1,2
1275,1141,7,5,1
1276,1142,5,5,1
1278,1143,1,6,2
1279,1144,3,3,2
1280,1145,8,2,2
1281,1146,6,1,1
1282,1147,1,1,1
1283,1148,2,2,2
1285,1149,6,2,2
1286,1150,4,1,2
1287,1151,5,6,1
1289,1152,6,2,1
1291,1153,5,7,2
1292,1154,8,3,2
1293,1155,5,1,2
1295,1156,2,1,1
1296,1157,5,2,1
1297,1158,8,7,2
1298,1159,4,6,2
1299,1160,5,5,2
1301,1161,2,5,2
1302,1162,5,4,2
1303,1163,4,3,1
1304,1164,5,3,1
1305,1165,3,6,2
1306,1166,6,6,2
1307,1167,5,7,1
1308,1168,8,3,1
1309,1169,6,3,1
1310,1170,1,1,1
1311,1171,3,4,1
1312,1172,5,2,1
1313,1173,7,6,2
1315,1174,4,4,1
1316,1175,1,2,2
1317,1176,2,5,2
1318,1177,3,7,1
1319,1178,7,4,2
1320,1179,8,4,2
1321,1180,5,7,1
1322,1181,7,1,1
1323,1182,7,1,2
1324,1183,8,7,2
1327,1184,6,5,1
1328,1185,6,6,1
1329,1186,8,7,1
1330,1187,8,3,1
1331,1188,1,2,2
1332,1189,8,3,1
1333,1190,8,1,2
1334,1191,6,5,1
1336,1192,1,6,2
1337,1193,7,7,2
1338,1194,5,4,1
1339,1195,3,6,2
1340,1196,5,1,1
1342,1197,4,2,1
1343,1198,2,1,1
1344,1199,5,3,1
1345,1200,4,2,2
1346,1201,4,6,2
1347,1202,5,2,2
1349,1203,5,7,1
1350,1204,7,7,2
1353,1205,5,5,2
1354,1206,8,5,1
1355,1207,5,6,2
1356,1208,1,2,1
1357,1209,4,1,2
1358,1210,5,2,2
1359,1211,5,2,2
1361,1212,3,7,1
1362,1213,1,5,2
1363,1214,4,1,1
1364,1215,7,2,2
1366,1216,2,4,1
1367,1217,7,2,1
1368,1218,5,2,2
1369,1219,8,2,2
1370,1220,7,3,2
1371,1221,4,7,1
1373,1222,5,6,1
1375,1223,1,7,2
1376,1224,8,6,1
1377,1225,8,6,1
1378,1226,4,1,1
1379,1227,6,6,2
1380,1228,5,4,1
1382,1229,5,4,1
1383,1230,2,4,2
1384,1231,6,5,1
1385,1232,3,1,1
1386,1233,4,6,2
1387,1234,6,2,2
1389,1235,6,3,1
1390,1236,5,3,1
1391,1237,3,5,2
1392,1238,3,6,1
1394,1239,2,6,1
1395,1240,2,4,1
1396,1241,7,5,2
1397,1242,6,3,1
1398,1243,5,5,1
1399,1244,5,1,2
1400,1245,6,5,1
1401,1246,7,3,1
1402,1247,1,7,2
1403,1248,7,1,1
1404,1249,8,7,2
1405,1250,1,1,2
1406,1251,8,7,1
1407,1252,7,1,1
1409,1253,3,4,1
1410,1254,8,7,1
1412,1255,8,3,1
1413,1256,7,2,2
1414,1257,4,5,2
1415,1258,6,6,1
1416,1259,7,5,2
1417,1260,7,5,1
1418,1261,1,7,2
1419,1262,8,4,1
1420,1263,8,3,1
1421,1264,6,7,2
1422,1265,4,3,2
1423,1266,6,7,1
1424,1267,8,1,2
1425,1268,8,6,2
1426,1269,3,1,1
1427,1270,4,1,1
1428,1271,5,6,2
1429,1272,4,2,1
1430,1273,4,5,2
1431,1274,2,4,1
1432,1275,1,7,1
1433,1276,1,3,2
1434,1277,1,6,2
1435,1278,3,2,1
1436,1279,4,5,2
1437,1280,8,1,1
1438,1281,4,1,1
1439,1282,4,5,1
1441,1283,4,3,2
1442,1284,1,2,1
1443,1285,2,6,2
1444,1286,5,5,2
1445,1287,1,3,2
1446,1288,3,4,1
1447,1289,7,2,1
1448,1290,2,1,1
1449,1291,8,3,2
1451,1292,7,6,1
1452,1293,7,7,1
1453,1294,5,2,2
1454,1295,3,2,2
1455,1296,7,5,1
1456,1297,6,3,2
1458,1298,2,1,2
1459,1299,3,3,2
1460,1300,8,6,1
1461,1301,6,3,2
1462,1302,7,2,2
1463,1303,7,1,1
1464,1304,8,7,1
1465,1305,5,1,1
1466,1306,7,6,1
1467,1307,1,2,1
1468,1308,5,2,1
1469,1309,3,1,1
1470,1310,6,6,2
1471,1311,8,4,2
1472,1312,4,7,1
1473,1313,8,3,2
1474,1314,1,6,1
1475,1315,6,4,2
1476,1316,6,1,2
1477,1317,7,1,1
1478,1318,1,2,1
1479,1319,1,7,1
1480,1320,2,1,2
1481,1321,2,6,2
1482,1322,1,2,2
1483,1323,1,4,2
