,age,job,marital,education,balance,housing,duration,campaign,approval
102,49.0,9,1,2,5996,1,345.0,2,1
103,57.0,7,2,1,3777,2,65.0,2,1
104,34.0,4,2,2,524,1,9.0,1,1
105,32.0,4,2,3,574,2,259.0,2,1
106,37.0,1,1,2,427,2,371.0,3,1
107,33.0,6,1,3,483,2,280.0,2,1
108,56.0,10,1,1,3391,1,243.0,1,2
109,27.0,3,1,1,0,2,435.0,3,1
110,21.0,8,2,2,2488,1,258.0,6,2
111,58.0,4,1,3,1517,2,7.0,5,1
112,32.0,6,1,2,217,2,317.0,5,1
113,33.0,1,2,2,22,1,76.0,2,1
114,25.0,8,2,2,331,1,170.0,4,2
115,25.0,9,2,2,505,1,386.0,2,2
116,30.0,7,1,2,1808,2,83.0,2,1
117,22.0,0,2,2,4111,1,65.0,1,1
118,39.0,1,1,1,52,1,69.0,1,1
119,46.0,4,3,3,25,1,564.0,2,1
120,31.0,0,3,2,1890,2,588.0,1,1
121,45.0,1,1,1,419,1,113.0,4,1
122,32.0,9,1,2,2693,2,16.0,1,1
123,36.0,1,1,2,-231,1,779.0,2,1
124,51.0,4,2,3,-55,2,281.0,2,1
125,34.0,6,2,3,462,1,1877.0,3,2
126,24.0,10,2,2,119,1,51.0,1,1
127,45.0,9,2,2,586,1,32.0,3,1
128,32.0,1,2,2,228,1,176.0,1,1
129,77.0,5,3,3,4659,1,161.0,1,2
130,41.0,1,1,1,168,2,187.0,3,1
131,37.0,1,1,1,0,2,24.0,1,1
132,43.0,1,1,4,-715,2,67.0,3,1
133,48.0,0,1,4,0,2,85.0,1,1
134,27.0,9,2,2,769,2,317.0,2,1
135,33.0,4,2,3,0,1,-98.0,10,1
136,29.0,0,2,2,428,2,54.0,1,1
137,34.0,4,2,3,0,1,71.0,1,1
138,52.0,4,1,3,-970,2,489.0,1,2
139,60.0,4,1,4,6313,1,39.0,2,1
140,32.0,4,3,3,948,1,204.0,2,1
141,32.0,4,2,3,0,2,455.0,2,1
142,56.0,7,3,4,1877,2,86.0,1,1
143,31.0,4,2,3,874,2,190.0,2,1
144,42.0,0,1,2,323,2,280.0,2,1
145,35.0,4,1,3,106,1,588.0,2,1
146,56.0,5,1,1,1906,1,45.0,9,1
147,48.0,9,1,2,1152,2,168.0,5,1
148,46.0,0,1,2,179,2,194.0,4,1
149,37.0,9,2,4,391,2,103.0,3,1
150,41.0,2,1,4,89,2,333.0,2,1
151,36.0,4,2,3,442,2,102.0,3,1
152,45.0,10,3,1,-249,2,92.0,1,1
153,55.0,2,1,2,8104,1,213.0,2,1
154,39.0,9,1,2,501,1,289.0,1,1
155,35.0,9,3,2,308,1,77.0,2,1
156,55.0,0,1,2,602,1,324.0,3,2
157,55.0,9,1,2,273,2,84.0,3,1
158,27.0,6,2,2,50,1,168.0,1,1
159,34.0,9,1,2,1641,2,380.0,1,1
160,34.0,1,1,3,20,1,10.0,1,1
161,25.0,0,2,2,4590,2,199.0,2,1
162,41.0,0,2,2,-256,1,-35.0,3,1
163,43.0,7,1,2,978,2,82.0,2,1
164,28.0,4,2,3,80,1,676.0,2,2
165,31.0,0,2,2,2104,2,455.0,1,1
166,78.0,3,1,2,499,1,80.0,4,1
167,45.0,1,3,2,1269,2,549.0,2,1
168,48.0,9,1,3,310,1,135.0,1,1
169,32.0,1,2,2,1143,2,412.0,1,1
170,42.0,9,1,2,2980,1,101.0,3,1
171,37.0,4,2,3,37,1,253.0,2,1
172,40.0,0,2,2,462,2,272.0,1,1
173,32.0,0,1,2,1031,2,84.0,1,1
174,42.0,4,1,3,9009,1,135.0,2,1
175,43.0,0,1,2,-465,2,166.0,1,1
176,44.0,0,1,2,5181,2,18.0,7,1
177,37.0,0,1,2,176,2,147.0,2,1
178,37.0,11,1,4,1699,1,63.0,1,1
179,37.0,0,1,3,0,2,65.0,2,1
180,28.0,9,2,3,172,2,194.0,2,1
181,32.0,7,2,2,0,1,333.0,2,1
182,34.0,0,2,2,6979,2,14.0,5,1
183,40.0,0,3,2,6,1,140.0,1,1
184,34.0,7,1,2,-62,2,109.0,3,1
185,34.0,6,1,3,1972,2,61.0,2,1
186,34.0,0,1,3,899,2,377.0,3,1
187,37.0,7,2,2,21,2,96.0,1,1
188,36.0,9,1,2,23,2,152.0,2,1
189,56.0,5,1,2,-1206,2,382.0,2,2
190,49.0,1,1,1,0,2,97.0,6,1
191,33.0,6,1,2,215,2,543.0,12,1
192,30.0,4,2,3,1372,1,240.0,2,1
193,36.0,7,1,2,1981,1,48.0,2,1
194,23.0,8,2,2,9216,1,471.0,2,1
195,57.0,5,3,2,39,2,354.0,3,1
196,27.0,1,2,2,5563,2,435.0,2,1
197,38.0,7,1,2,1,1,152.0,2,1
198,42.0,9,1,3,782,1,285.0,1,1
199,75.0,5,1,2,3771,1,185.0,1,2
200,34.0,9,2,3,992,2,301.0,1,1
201,48.0,9,1,2,1526,1,273.0,2,1
202,35.0,9,2,3,2658,2,768.0,2,2
203,39.0,4,3,3,1315,2,1337.0,4,1
204,29.0,1,2,3,455,1,403.0,1,2
205,45.0,9,2,3,0,2,139.0,2,1
206,42.0,9,1,2,2030,2,196.0,1,1
207,29.0,9,1,2,1599,2,115.0,1,1
208,38.0,7,2,2,-196,2,60.0,1,1
209,56.0,5,1,2,1333,1,17.0,14,1
210,36.0,9,2,2,9149,2,141.0,3,1
211,25.0,1,2,2,-350,2,95.0,3,1
212,38.0,9,1,3,432,2,10.0,2,1
213,57.0,6,1,2,11494,1,198.0,1,1
214,31.0,4,1,3,-253,1,220.0,4,1
215,42.0,4,1,3,372,2,654.0,2,2
216,45.0,9,1,2,1410,1,71.0,2,1
217,30.0,1,1,2,975,2,256.0,2,1
218,49.0,1,1,1,305,2,834.0,10,1
219,49.0,7,1,2,400,1,151.0,3,1
220,53.0,5,1,3,-22,2,20.0,3,1
221,37.0,9,1,2,4030,2,178.0,5,1
222,49.0,1,1,1,365,1,59.0,2,1
223,41.0,6,1,1,204,1,111.0,7,1
224,54.0,4,1,1,1691,2,186.0,1,1
225,32.0,7,2,2,406,2,227.0,1,1
226,33.0,9,1,2,-204,1,297.0,3,1
227,33.0,9,1,2,359,2,210.0,1,1
228,36.0,1,1,1,123,2,9.0,1,1
229,35.0,9,1,3,0,2,112.0,1,1
230,52.0,11,1,2,142,1,112.0,6,1
231,40.0,2,1,3,3571,1,222.0,3,1
232,44.0,9,2,2,33,2,195.0,3,1
233,45.0,1,2,2,0,2,768.0,2,1
234,30.0,8,2,2,3096,1,123.0,1,1
235,48.0,9,3,2,20,1,145.0,3,1
236,33.0,1,1,2,3576,2,124.0,1,1
237,57.0,9,1,4,206,2,216.0,3,1
238,57.0,3,1,1,7082,1,69.0,3,1
239,51.0,10,1,3,1634,2,168.0,4,1
240,34.0,0,2,2,1,2,483.0,7,1
241,50.0,6,1,3,4012,1,690.0,3,1
242,44.0,4,1,3,3762,1,125.0,12,1
243,27.0,0,1,2,-247,2,344.0,2,1
244,50.0,1,1,2,606,2,673.0,2,1
245,36.0,4,1,3,0,2,60.0,1,1
246,42.0,4,1,2,-189,2,247.0,2,1
247,32.0,10,2,2,0,1,123.0,2,1
248,42.0,4,1,3,484,2,144.0,2,1
249,43.0,9,1,2,0,1,9.0,2,1
250,31.0,4,1,3,395,2,155.0,3,1
251,32.0,4,1,3,2349,1,134.0,5,1
252,55.0,1,3,1,410,1,221.0,2,1
253,58.0,5,1,1,3401,2,84.0,3,1
254,46.0,1,1,1,222,1,71.0,2,1
255,55.0,1,1,2,989,2,246.0,4,1
256,34.0,4,1,3,415,1,361.0,2,1
257,28.0,10,2,2,16,1,119.0,4,1
258,42.0,9,3,3,7190,2,375.0,2,1
259,29.0,1,2,2,482,1,1097.0,3,2
260,54.0,3,1,2,209,2,97.0,1,1
261,32.0,9,2,2,0,1,181.0,2,1
262,39.0,9,2,3,5803,1,83.0,3,1
263,53.0,2,1,3,624,1,180.0,4,1
264,58.0,9,1,3,883,1,543.0,1,1
265,40.0,6,1,2,1516,2,373.0,1,1
266,29.0,8,2,2,872,2,230.0,1,1
267,33.0,9,1,3,-988,2,83.0,3,1
268,38.0,0,2,2,902,2,58.0,13,1
269,56.0,7,3,2,1007,1,88.0,6,1
270,40.0,7,1,2,0,2,297.0,1,1
271,24.0,1,2,2,174,2,487.0,1,2
272,46.0,4,1,2,12186,1,29.0,3,1
273,35.0,6,1,2,524,2,484.0,4,1
274,35.0,1,2,3,0,2,262.0,4,1
275,34.0,9,1,2,4,2,644.0,1,1
276,35.0,3,1,3,11219,1,699.0,2,1
277,38.0,9,2,3,0,1,247.0,2,1
278,50.0,1,1,1,5776,1,49.0,3,1
279,51.0,1,3,1,37,2,341.0,1,1
280,59.0,6,1,3,593,1,64.0,2,1
281,32.0,1,1,2,1148,2,121.0,1,1
282,37.0,1,2,2,3561,2,98.0,1,1
283,42.0,0,3,2,63,1,88.0,6,1
284,40.0,8,1,2,260,1,197.0,6,1
285,28.0,9,2,3,2269,2,331.0,1,1
286,47.0,0,1,2,1060,2,83.0,3,1
287,27.0,6,1,2,-220,2,138.0,2,1
288,41.0,4,1,3,49,2,312.0,5,1
289,34.0,0,1,3,69,1,120.0,3,2
290,50.0,1,1,1,4108,2,526.0,2,2
291,47.0,1,1,2,480,2,211.0,2,1
292,53.0,7,1,2,4994,1,62.0,6,1
293,53.0,9,3,2,0,2,135.0,5,1
294,47.0,4,1,3,3681,1,101.0,2,1
295,49.0,2,3,4,-701,2,988.0,2,2
296,29.0,4,1,3,451,1,451.0,1,1
297,45.0,1,3,1,-311,2,1030.0,1,2
298,38.0,2,1,2,593,2,1484.0,24,2
299,32.0,1,1,2,759,2,317.0,5,2
300,70.0,5,3,1,4531,1,445.0,1,1
301,65.0,5,3,1,1840,1,383.0,2,1
302,56.0,1,1,2,345,2,605.0,1,1
303,35.0,1,1,2,1287,2,330.0,2,1
304,56.0,4,1,4,353,1,171.0,2,1
305,56.0,9,1,2,205,1,442.0,2,1
306,49.0,2,1,2,687,2,772.0,1,2
307,38.0,10,1,1,1147,2,249.0,5,1
308,35.0,4,1,3,4286,2,357.0,1,1
309,38.0,0,1,3,605,1,147.0,2,1
310,49.0,1,1,2,8545,2,199.0,7,1
311,55.0,4,1,4,559,1,271.0,2,1
312,43.0,1,2,1,2,2,783.0,3,1
313,43.0,4,1,3,2,1,472.0,2,1
314,25.0,0,2,3,760,2,223.0,3,2
315,30.0,1,1,1,1317,2,395.0,2,1
316,46.0,1,1,2,182,1,56.0,1,1
317,50.0,0,1,1,276,1,641.0,6,1
318,35.0,2,1,2,2971,1,429.0,4,2
319,26.0,10,2,2,1064,1,113.0,1,1
320,45.0,0,1,4,1783,1,11.0,11,1
321,37.0,1,1,2,-67,1,157.0,1,1
322,60.0,6,2,3,179,1,79.0,4,1
323,38.0,4,1,3,1199,1,178.0,1,2
324,47.0,1,1,1,214,2,168.0,1,1
325,33.0,9,1,2,6699,1,425.0,1,1
326,51.0,10,1,2,1760,1,162.0,1,1
327,35.0,2,2,3,145,2,-799.0,2,2
328,35.0,10,1,2,978,1,1370.0,3,2
329,48.0,0,2,2,1150,2,357.0,1,1
330,37.0,0,1,2,121,1,22.0,6,1
331,29.0,9,2,3,828,2,215.0,3,1
332,34.0,0,1,2,244,2,56.0,4,1
333,32.0,7,1,1,228,2,1017.0,6,2
334,30.0,4,2,3,424,1,298.0,4,2
335,47.0,4,3,3,447,1,126.0,1,1
336,33.0,1,1,1,-195,1,9.0,1,1
337,33.0,4,2,3,1410,2,8.0,1,1
338,63.0,5,1,1,1084,1,201.0,1,1
339,51.0,6,3,1,10924,1,106.0,2,1
340,41.0,4,1,3,832,2,164.0,1,1
341,56.0,5,1,3,478,1,97.0,1,1
342,60.0,4,2,3,0,1,151.0,1,1
343,41.0,6,2,3,3950,2,96.0,2,1
344,37.0,4,2,4,504,2,555.0,1,1
345,36.0,1,2,2,219,2,270.0,2,1
346,57.0,4,1,3,1602,1,339.0,3,1
347,55.0,4,1,1,2587,1,328.0,2,2
348,44.0,0,1,2,0,2,159.0,1,1
349,47.0,6,1,3,2303,2,323.0,2,1
350,31.0,1,1,2,1660,2,342.0,1,1
351,35.0,4,1,3,32,2,180.0,1,1
352,39.0,4,1,3,278,1,60.0,3,1
353,50.0,4,1,3,4,1,223.0,1,1
354,29.0,4,1,3,318,2,1434.0,2,1
355,30.0,7,2,2,209,2,30.0,2,1
356,46.0,7,1,2,271,2,134.0,4,1
357,27.0,4,2,4,3196,1,10.0,2,1
358,48.0,0,3,2,4099,1,397.0,2,2
359,26.0,8,2,2,2572,2,620.0,1,1
360,36.0,4,2,3,339,1,6.0,6,1
361,42.0,1,1,1,0,2,209.0,2,1
362,50.0,3,1,1,395,2,419.0,2,1
363,49.0,1,1,2,2039,2,283.0,2,1
364,45.0,4,1,3,5450,1,188.0,2,1
365,23.0,8,2,2,780,1,267.0,1,1
366,38.0,9,2,2,0,2,196.0,2,1
367,32.0,4,2,3,8436,2,245.0,1,1
368,60.0,9,2,1,11262,1,323.0,1,2
369,30.0,2,1,2,946,2,1065.0,1,1
370,58.0,3,1,3,497,1,138.0,5,1
371,60.0,5,1,1,55,1,207.0,1,1
372,38.0,7,1,2,-140,1,456.0,3,1
373,51.0,9,1,2,-379,2,261.0,1,1
374,42.0,0,1,2,-396,2,80.0,1,1
375,30.0,7,2,2,0,2,131.0,6,1
376,40.0,4,1,1,733,2,94.0,7,1
377,37.0,4,1,3,393,2,567.0,3,2
378,53.0,9,3,1,7290,2,153.0,1,1
379,27.0,7,2,2,468,2,109.0,1,1
380,39.0,1,1,2,0,2,53.0,1,1
381,39.0,1,1,1,3705,2,77.0,1,1
382,59.0,5,1,3,9676,1,234.0,2,2
383,37.0,7,1,2,1328,2,121.0,2,1
384,41.0,1,1,1,8,2,155.0,2,1
385,45.0,1,1,1,61,1,108.0,1,1
386,48.0,4,1,3,6613,1,159.0,3,1
387,48.0,9,1,2,302,2,208.0,3,1
388,32.0,1,1,2,1005,1,215.0,1,1
389,35.0,7,1,2,109,2,597.0,3,1
390,33.0,4,2,3,1240,2,505.0,2,1
391,28.0,1,2,1,0,2,380.0,4,1
392,64.0,5,1,4,2923,1,120.0,1,1
393,35.0,9,1,2,0,1,106.0,4,1
394,33.0,1,1,2,43,2,332.0,2,1
395,41.0,9,1,2,288,2,221.0,4,1
396,34.0,0,1,2,613,2,80.0,1,1
397,37.0,9,2,3,6101,1,60.0,5,1
398,38.0,1,1,1,168,2,212.0,3,1
399,39.0,1,1,1,7685,2,493.0,3,1
400,35.0,9,3,3,4515,2,98.0,2,1
401,28.0,1,2,2,517,1,681.0,1,2
402,27.0,1,2,2,148,1,203.0,1,1
403,48.0,5,1,1,-285,1,157.0,1,1
404,50.0,1,1,2,887,1,287.0,1,1
405,45.0,6,1,2,3098,2,159.0,2,1
406,41.0,9,1,3,744,2,125.0,1,1
407,39.0,9,1,2,130,1,202.0,2,1
408,44.0,4,1,2,438,2,37.0,3,1
409,54.0,0,1,2,0,1,161.0,1,2
410,49.0,4,1,3,322,1,72.0,4,1
411,34.0,1,2,2,186,1,342.0,1,1
412,75.0,5,3,3,3810,2,262.0,1,2
413,42.0,4,1,3,0,1,325.0,2,1
414,53.0,1,1,2,4380,1,223.0,7,1
415,49.0,4,3,3,755,1,1212.0,4,2
416,31.0,7,2,2,2070,1,319.0,2,1
417,45.0,1,2,1,999,1,182.0,2,1
418,39.0,6,1,2,167,2,330.0,1,1
419,46.0,9,1,2,1322,2,514.0,1,1
420,42.0,0,3,2,1076,2,213.0,1,1
421,37.0,4,1,3,502,2,551.0,1,1
422,26.0,9,2,3,1216,2,472.0,2,1
423,37.0,4,2,3,876,2,140.0,4,1
424,36.0,7,2,2,342,2,142.0,1,1
425,29.0,1,2,1,950,2,135.0,3,1
426,36.0,1,1,1,973,2,293.0,1,1
427,26.0,9,1,3,3825,2,107.0,1,1
428,32.0,1,1,2,2366,2,127.0,2,1
429,40.0,4,1,3,542,2,1816.0,1,1
430,53.0,4,1,1,995,1,200.0,3,1
431,29.0,4,1,3,20,2,418.0,1,1
432,34.0,9,2,3,228,2,387.0,4,1
433,43.0,1,1,2,130,1,156.0,1,1
434,56.0,4,1,3,217,1,121.0,2,1
435,55.0,2,3,3,0,1,108.0,2,1
436,31.0,6,1,3,259,2,47.0,1,1
437,27.0,0,2,2,619,2,16.0,5,1
438,36.0,4,1,2,644,2,54.0,2,1
439,44.0,4,1,3,22,2,265.0,2,1
440,37.0,0,3,3,4303,2,168.0,1,1
441,30.0,0,2,2,239,2,115.0,3,1
442,42.0,9,2,2,275,1,31.0,8,1
443,30.0,4,1,3,1221,2,279.0,4,2
444,62.0,5,1,2,816,1,28.0,2,1
445,24.0,1,1,2,1222,2,369.0,1,1
446,31.0,9,1,2,2363,2,247.0,1,1
447,66.0,5,1,3,2262,1,155.0,1,1
448,47.0,0,1,2,2,1,89.0,1,1
449,39.0,2,1,3,2,2,180.0,1,1
450,35.0,9,1,2,4508,2,854.0,1,2
451,35.0,0,3,2,-402,2,46.0,1,1
452,27.0,9,1,2,1577,2,266.0,2,1
453,32.0,1,1,2,34,2,321.0,2,1
454,44.0,4,1,3,795,1,99.0,24,1
455,42.0,1,1,2,117,2,147.0,1,1
457,25.0,7,2,2,402,1,264.0,1,1
458,40.0,9,2,2,641,1,156.0,6,1
459,43.0,4,3,3,36,1,118.0,1,1
460,55.0,10,1,3,383,1,343.0,3,1
461,50.0,1,1,2,283,2,226.0,3,1
462,45.0,4,3,3,0,1,5.0,1,1
463,35.0,1,3,2,3102,2,138.0,1,1
464,32.0,1,1,2,889,2,185.0,1,2
465,59.0,3,1,2,0,1,722.0,1,1
466,34.0,6,1,2,-370,2,748.0,1,1
467,39.0,4,1,3,-606,2,142.0,1,1
468,40.0,4,2,2,10378,2,523.0,3,1
469,36.0,1,2,1,1313,2,8.0,10,1
470,40.0,4,1,3,8969,2,153.0,1,1
471,55.0,6,1,2,-196,2,210.0,2,1
472,38.0,2,1,2,15,2,121.0,1,1
473,61.0,0,1,2,4608,1,212.0,1,2
474,41.0,4,1,3,666,2,253.0,3,1
475,57.0,1,1,1,452,2,139.0,4,1
476,48.0,1,1,2,149,2,71.0,1,1
477,77.0,5,1,3,7802,1,421.0,1,2
478,35.0,7,1,2,1453,2,199.0,1,1
479,54.0,1,1,2,1480,2,108.0,1,1
480,37.0,4,2,4,715,2,247.0,2,1
481,56.0,4,2,2,237,2,236.0,4,1
482,40.0,9,1,2,694,2,97.0,4,1
483,40.0,4,1,3,0,1,109.0,8,1
484,54.0,4,1,3,55,2,112.0,2,1
485,55.0,3,1,1,136,2,15.0,10,1
486,55.0,7,3,2,-404,2,502.0,3,1
487,52.0,1,1,1,779,2,30.0,3,1
488,55.0,1,2,1,1187,2,193.0,2,1
489,33.0,4,1,3,641,2,347.0,2,1
490,52.0,1,1,4,826,2,468.0,2,1
491,33.0,7,3,2,991,2,148.0,1,1
492,53.0,0,1,2,1796,1,295.0,1,2
493,46.0,0,1,2,22,1,388.0,6,2
494,44.0,9,2,2,244,2,1735.0,4,2
495,48.0,4,3,3,1328,2,339.0,1,1
496,50.0,3,1,2,7317,2,172.0,1,1
497,34.0,9,2,2,4943,2,117.0,2,1
498,38.0,9,2,2,258,1,587.0,2,1
499,42.0,4,2,3,515,2,501.0,2,1
500,32.0,4,2,3,12607,1,203.0,5,1
501,58.0,0,1,2,2,2,282.0,9,1
502,31.0,4,1,3,13,1,110.0,5,1
503,19.0,8,2,1,103,1,104.0,2,2
504,41.0,4,1,3,3872,1,231.0,1,1
505,31.0,10,1,2,296,2,378.0,3,1
506,52.0,6,2,1,217,1,193.0,6,1
507,42.0,6,3,3,360,2,110.0,5,1
508,41.0,1,2,2,428,2,92.0,1,1
509,30.0,1,2,2,315,1,1407.0,1,2
510,38.0,1,1,2,121,2,168.0,1,1
511,32.0,4,1,3,820,2,738.0,3,1
512,52.0,9,1,2,195,2,220.0,1,2
513,48.0,4,3,3,108,2,89.0,2,1
514,36.0,4,1,3,-381,2,30.0,29,1
515,45.0,10,3,1,757,1,103.0,1,1
516,34.0,9,1,3,691,2,70.0,1,1
517,36.0,1,1,1,1925,2,904.0,2,2
518,34.0,4,1,3,902,2,159.0,1,1
519,61.0,5,1,2,5207,1,336.0,1,1
520,54.0,7,1,2,0,1,220.0,1,1
521,50.0,2,1,2,665,1,238.0,1,1
522,43.0,0,3,2,738,2,585.0,4,1
523,47.0,1,1,1,233,1,293.0,3,1
524,45.0,7,1,2,-839,2,68.0,1,1
525,57.0,5,1,1,5799,1,97.0,1,1
526,27.0,0,1,2,1033,2,1713.0,1,1
527,49.0,10,3,2,66,1,218.0,3,1
528,43.0,7,1,1,2567,2,109.0,1,1
529,40.0,4,1,3,1584,2,661.0,1,1
530,32.0,7,2,2,182,2,145.0,1,1
531,58.0,4,1,1,76,2,54.0,4,1
532,34.0,0,2,2,663,2,111.0,1,1
533,46.0,9,3,2,3455,2,566.0,2,1
534,29.0,1,1,2,15,1,136.0,1,1
535,52.0,1,1,1,1054,1,273.0,1,1
536,45.0,4,1,3,1529,1,160.0,1,1
537,26.0,4,2,2,63,1,76.0,4,1
538,40.0,9,1,3,0,1,44.0,1,1
539,41.0,0,1,2,920,2,239.0,1,1
540,47.0,0,2,2,3696,1,250.0,2,2
541,27.0,9,2,4,59,1,792.0,4,1
542,27.0,7,1,2,0,2,198.0,13,1
543,48.0,1,1,2,157,2,73.0,1,1
544,49.0,0,1,2,2465,1,157.0,3,1
545,35.0,1,1,1,0,2,90.0,6,1
546,47.0,6,1,2,2,1,236.0,2,1
547,54.0,4,1,3,0,1,118.0,5,1
548,39.0,4,2,3,12437,1,40.0,1,1
549,28.0,8,2,2,378,2,346.0,1,1
550,54.0,1,1,1,211,1,200.0,2,1
551,34.0,9,1,2,-228,2,187.0,3,1
552,63.0,5,1,2,2747,1,113.0,1,1
553,42.0,6,1,3,1932,2,192.0,32,1
554,43.0,9,2,2,11269,1,92.0,1,1
555,37.0,0,1,2,1314,2,682.0,2,1
556,55.0,1,1,1,2275,1,139.0,9,1
557,43.0,4,2,3,1304,1,501.0,2,2
558,41.0,1,1,2,720,1,651.0,1,2
559,47.0,9,3,2,2914,2,405.0,13,1
560,34.0,9,1,2,1464,2,350.0,1,1
561,28.0,8,2,2,11555,1,125.0,2,1
562,36.0,7,1,2,-302,2,36.0,2,1
563,50.0,9,1,2,2497,2,35.0,1,1
564,35.0,1,1,2,-339,2,389.0,2,1
565,40.0,9,1,2,56,2,194.0,1,1
566,26.0,6,2,3,211,1,168.0,3,1
567,36.0,4,3,3,3611,2,347.0,3,1
568,59.0,10,1,1,0,1,3025.0,2,1
569,28.0,8,2,2,459,1,83.0,13,1
570,46.0,2,1,4,242,2,332.0,2,1
571,50.0,6,1,2,1138,1,219.0,10,1
572,53.0,4,1,3,1319,2,427.0,1,1
573,81.0,5,1,2,1,1,65.0,5,1
574,35.0,7,3,2,67,2,192.0,2,1
